VerkaufsID,KundenID,ProduktID,Datum,Menge,Region,Land,Supportanfrage,Retoure,Kampagne
V00025,K0110,P006,2025-04-05,2,Lombardei,Italien,Nein,Nein,Printemps Tech
V00026,K0176,P004,2022-02-09,9,Bayern,Deutschland,Nein,Nein,Smart Home Days
V00027,K0034,P007,2025-01-30,8,London,Großbritannien,Nein,Nein,Printemps Tech
V00028,K0097,P001,2024-07-25,10,Lombardei,Italien,Nein,Nein,Summer Tech
V00029,K0099,P006,2021-06-17,5,Wien,Österreich,Ja,Nein,Spring Cleaning
V00030,K0028,P007,2023-01-29,7,London,Großbritannien,Nein,Nein,AI Everywhere
V00031,K0109,P001,2023-11-24,1,NRW,Deutschland,Ja,Nein,Summer Tech
V00032,K0195,P001,2021-11-28,1,Bayern,Deutschland,Nein,Nein,Summer Tech
V00033,K0134,P001,2024-04-03,7,Wien,Österreich,Nein,Nein,Frühjahr 2025
V00034,K0083,P006,2021-06-06,4,London,Großbritannien,Nein,Nein,Printemps Tech
V00035,K0012,P004,2025-02-28,6,London,Großbritannien,Nein,Nein,Frühjahr 2025
V00036,K0125,P007,2021-06-04,5,NRW,Deutschland,Nein,Nein,Spring Cleaning
V00037,K0136,P003,2021-10-18,3,Wien,Österreich,Nein,Nein,Spring Cleaning
V00038,K0037,P007,2022-07-30,6,Berlin,Deutschland,Nein,Nein,Printemps Tech
V00039,K0042,P001,2023-06-14,1,Hamburg,Deutschland,Nein,Nein,Summer Tech
V00040,K0079,P004,2022-07-15,7,London,Großbritannien,Nein,Nein,Spring Cleaning
V00041,K0071,P002,2025-01-21,8,NRW,Deutschland,Nein,Ja,UK Launch
V00042,K0145,P003,2021-08-07,4,Hamburg,Deutschland,Nein,Nein,Frühjahr 2025
V00043,K0095,P007,2025-06-25,10,NRW,Deutschland,Nein,Nein,Smart Home Days
V00044,K0057,P006,2021-05-22,1,Bayern,Deutschland,Nein,Nein,UK Launch
V00045,K0080,P001,2024-02-16,4,Berlin,Deutschland,Ja,Nein,Summer Tech
V00046,K0100,P007,2021-10-31,1,Katalonien,Spanien,Nein,Ja,Summer Tech
V00047,K0021,P002,2022-12-21,4,Berlin,Deutschland,Ja,Nein,Printemps Tech
V00048,K0055,P005,2024-07-01,8,NRW,Deutschland,Nein,Ja,AI Everywhere
V00049,K0130,P006,2022-12-05,5,Lombardei,Italien,Nein,Nein,Business Boost
V00050,K0001,P004,2022-09-02,4,Bayern,Deutschland,Nein,Nein,Smart Home Days
V00051,K0164,P003,2023-01-12,6,Hamburg,Deutschland,Nein,Nein,Winter Deals
V00052,K0073,P003,2025-02-25,1,Lombardei,Italien,Ja,Nein,Urban Gardening
V00053,K0091,P005,2023-03-06,10,Hamburg,Deutschland,Nein,Nein,Business Boost
V00054,K0017,P006,2021-07-07,1,Lombardei,Italien,Nein,Nein,AI Everywhere
V00055,K0051,P007,2023-05-19,3,Île-de-France,Frankreich,Nein,Nein,Winter Deals
V00056,K0118,P005,2022-01-07,6,Lombardei,Italien,Nein,Nein,Frühjahr 2025
V00057,K0006,P004,2022-11-16,1,Île-de-France,Frankreich,Nein,Nein,Winter Deals
V00058,K0133,P001,2023-11-29,6,NRW,Deutschland,Nein,Nein,UK Launch
V00059,K0128,P001,2021-02-09,7,Katalonien,Spanien,Nein,Nein,Spring Cleaning
V00060,K0197,P007,2023-09-23,3,London,Großbritannien,Nein,Nein,Winter Deals
V00061,K0098,P002,2022-09-18,7,Lombardei,Italien,Ja,Nein,Business Boost
V00062,K0108,P006,2023-04-09,10,Wien,Österreich,Nein,Nein,Smart Home Days
V00063,K0062,P007,2023-02-24,10,Bayern,Deutschland,Nein,Nein,Winter Deals
V00064,K0094,P007,2024-11-29,8,Lombardei,Italien,Nein,Nein,UK Launch
V00065,K0171,P007,2022-12-20,7,NRW,Deutschland,Nein,Nein,AI Everywhere
V00066,K0072,P005,2024-05-14,8,London,Großbritannien,Nein,Nein,Winter Deals
V00067,K0172,P003,2023-10-02,9,Nordholland,Niederlande,Nein,Nein,Winter Deals
V00068,K0053,P006,2023-10-14,4,London,Großbritannien,Nein,Nein,Business Boost
V00069,K0046,P001,2025-06-04,7,Lombardei,Italien,Nein,Ja,Smart Home Days
V00070,K0057,P005,2023-12-09,5,Bayern,Deutschland,Nein,Ja,AI Everywhere
V00071,K0119,P005,2022-08-09,7,Katalonien,Spanien,Nein,Nein,Spring Cleaning
V00072,K0050,P004,2023-11-28,1,Hamburg,Deutschland,Nein,Nein,Urban Gardening
V00073,K0119,P001,2025-03-08,8,Katalonien,Spanien,Nein,Nein,Frühjahr 2025
V00074,K0076,P002,2021-03-24,6,Nordholland,Niederlande,Ja,Nein,Smart Home Days
V00075,K0152,P007,2023-09-11,5,Hamburg,Deutschland,Ja,Nein,Summer Tech
V00076,K0116,P004,2024-07-05,5,Île-de-France,Frankreich,Nein,Nein,AI Everywhere
V00077,K0120,P004,2024-09-19,10,Île-de-France,Frankreich,Nein,Nein,Printemps Tech
V00078,K0072,P003,2023-07-23,1,London,Großbritannien,Ja,Nein,UK Launch
V00079,K0020,P005,2022-11-29,8,Hamburg,Deutschland,Nein,Nein,Winter Deals
V00080,K0092,P005,2021-03-18,9,Hamburg,Deutschland,Ja,Nein,UK Launch
V00081,K0112,P001,2025-01-23,3,Katalonien,Spanien,Nein,Nein,Printemps Tech
V00082,K0053,P004,2021-11-22,9,London,Großbritannien,Nein,Nein,Winter Deals
V00083,K0053,P007,2021-04-15,6,London,Großbritannien,Ja,Nein,Spring Cleaning
V00084,K0116,P003,2023-01-16,2,Île-de-France,Frankreich,Ja,Nein,Urban Gardening
V00085,K0179,P003,2023-09-26,4,Bayern,Deutschland,Nein,Nein,Spring Cleaning
V00086,K0040,P002,2024-05-25,8,Berlin,Deutschland,Ja,Nein,Frühjahr 2025
V00087,K0137,P007,2022-11-07,2,Hamburg,Deutschland,Nein,Nein,Winter Deals
V00088,K0152,P003,2021-12-26,9,Hamburg,Deutschland,Ja,Nein,AI Everywhere
V00089,K0105,P003,2022-10-29,9,Berlin,Deutschland,Nein,Nein,Printemps Tech
V00090,K0066,P005,2025-07-06,4,Nordholland,Niederlande,Ja,Nein,Business Boost
V00091,K0098,P007,2023-03-16,3,Lombardei,Italien,Nein,Nein,Smart Home Days
V00092,K0088,P002,2022-09-15,10,Lombardei,Italien,Nein,Nein,Summer Tech
V00093,K0045,P002,2022-09-05,2,Berlin,Deutschland,Nein,Nein,Summer Tech
V00094,K0026,P004,2024-03-25,3,Berlin,Deutschland,Nein,Nein,UK Launch
V00095,K0042,P003,2023-09-14,8,Hamburg,Deutschland,Nein,Nein,Summer Tech
V00096,K0100,P001,2023-09-21,7,Katalonien,Spanien,Nein,Nein,Frühjahr 2025
V00097,K0149,P003,2022-09-27,2,Lombardei,Italien,Nein,Nein,Spring Cleaning
V00098,K0139,P004,2024-04-29,9,Île-de-France,Frankreich,Nein,Nein,Winter Deals
V00099,K0119,P001,2023-08-05,3,Katalonien,Spanien,Nein,Nein,Spring Cleaning
V00100,K0161,P002,2023-12-26,3,Berlin,Deutschland,Ja,Nein,Winter Deals
V00101,K0100,P004,2024-01-30,3,Katalonien,Spanien,Nein,Nein,Frühjahr 2025
V00102,K0192,P003,2021-02-23,1,Berlin,Deutschland,Nein,Nein,Printemps Tech
V00103,K0170,P007,2025-04-27,2,Île-de-France,Frankreich,Ja,Nein,Summer Tech
V00104,K0159,P003,2024-10-09,10,Hamburg,Deutschland,Nein,Ja,AI Everywhere
V00105,K0185,P002,2021-12-27,10,Hamburg,Deutschland,Ja,Nein,Winter Deals
V00106,K0051,P001,2023-03-20,4,Île-de-France,Frankreich,Ja,Nein,Frühjahr 2025
V00107,K0081,P001,2025-01-15,1,Bayern,Deutschland,Nein,Nein,UK Launch
V00108,K0110,P006,2024-02-27,6,Lombardei,Italien,Nein,Ja,AI Everywhere
V00109,K0198,P006,2023-02-02,2,Lombardei,Italien,Ja,Nein,Urban Gardening
V00110,K0077,P001,2022-08-02,10,Wien,Österreich,Nein,Nein,UK Launch
V00111,K0141,P004,2023-08-10,3,Wien,Österreich,Nein,Nein,Smart Home Days
V00112,K0056,P003,2024-03-12,2,Nordholland,Niederlande,Ja,Nein,Winter Deals
V00113,K0090,P004,2024-05-05,1,Hamburg,Deutschland,Ja,Nein,Business Boost
V00114,K0064,P006,2022-09-21,3,Katalonien,Spanien,Ja,Nein,Urban Gardening
V00115,K0096,P001,2024-03-18,6,NRW,Deutschland,Nein,Nein,Business Boost
V00116,K0175,P004,2024-06-23,4,NRW,Deutschland,Nein,Nein,Smart Home Days
V00117,K0072,P007,2023-04-03,6,London,Großbritannien,Nein,Nein,Smart Home Days
V00118,K0163,P004,2021-03-26,10,London,Großbritannien,Nein,Nein,Business Boost
V00119,K0116,P004,2025-06-24,8,Île-de-France,Frankreich,Nein,Nein,Smart Home Days
V00120,K0185,P005,2022-05-20,6,Hamburg,Deutschland,Nein,Nein,AI Everywhere
V00121,K0077,P007,2024-06-23,1,Wien,Österreich,Ja,Nein,Spring Cleaning
V00122,K0173,P005,2021-06-12,4,Lombardei,Italien,Ja,Nein,Winter Deals
V00123,K0069,P002,2021-06-05,7,Wien,Österreich,Nein,Nein,Frühjahr 2025
V00124,K0186,P005,2021-11-24,1,London,Großbritannien,Nein,Nein,UK Launch
V00125,K0100,P007,2021-10-12,1,Katalonien,Spanien,Nein,Nein,Frühjahr 2025
V00126,K0014,P001,2022-11-04,9,Wien,Österreich,Nein,Nein,Urban Gardening
V00127,K0046,P007,2021-12-30,4,Lombardei,Italien,Nein,Nein,Summer Tech
V00128,K0154,P001,2024-02-07,3,Hamburg,Deutschland,Nein,Nein,UK Launch
V00129,K0188,P007,2024-07-06,5,Hamburg,Deutschland,Nein,Nein,Printemps Tech
V00130,K0080,P007,2021-03-30,5,Berlin,Deutschland,Nein,Nein,Spring Cleaning
V00131,K0106,P003,2022-03-22,2,London,Großbritannien,Nein,Nein,Smart Home Days
V00132,K0110,P001,2022-12-22,9,Lombardei,Italien,Nein,Nein,Urban Gardening
V00133,K0142,P005,2022-03-12,10,Lombardei,Italien,Nein,Nein,Business Boost
V00134,K0151,P005,2022-10-25,1,NRW,Deutschland,Nein,Nein,Summer Tech
V00135,K0176,P003,2021-12-18,9,Bayern,Deutschland,Ja,Nein,Printemps Tech
V00136,K0150,P007,2024-11-06,5,Bayern,Deutschland,Nein,Nein,UK Launch
V00137,K0012,P002,2023-03-25,8,London,Großbritannien,Ja,Ja,AI Everywhere
V00138,K0093,P006,2022-06-22,3,Berlin,Deutschland,Nein,Nein,AI Everywhere
V00139,K0039,P004,2022-01-02,10,Nordholland,Niederlande,Nein,Nein,Urban Gardening
V00140,K0166,P002,2021-06-27,8,Hamburg,Deutschland,Nein,Nein,AI Everywhere
V00141,K0039,P003,2023-12-09,6,Nordholland,Niederlande,Nein,Nein,AI Everywhere
V00142,K0137,P005,2021-03-03,6,Hamburg,Deutschland,Ja,Nein,Urban Gardening
V00143,K0057,P005,2025-05-14,5,Bayern,Deutschland,Nein,Nein,Urban Gardening
V00144,K0160,P006,2023-06-12,1,Wien,Österreich,Nein,Nein,Summer Tech
V00145,K0146,P003,2021-02-17,5,NRW,Deutschland,Nein,Nein,Frühjahr 2025
V00146,K0048,P005,2021-11-15,9,Wien,Österreich,Ja,Nein,Printemps Tech
V00147,K0182,P003,2023-02-12,9,Berlin,Deutschland,Nein,Nein,Frühjahr 2025
V00148,K0136,P006,2024-11-23,3,Wien,Österreich,Nein,Ja,Urban Gardening
V00149,K0039,P007,2021-01-07,8,Nordholland,Niederlande,Nein,Nein,AI Everywhere
V00150,K0195,P002,2022-08-20,5,Bayern,Deutschland,Nein,Nein,Business Boost
V00151,K0194,P002,2022-02-06,6,Bayern,Deutschland,Nein,Nein,Smart Home Days
V00152,K0183,P006,2023-03-05,2,Lombardei,Italien,Nein,Nein,Urban Gardening
V00153,K0193,P004,2022-12-14,4,NRW,Deutschland,Nein,Nein,Printemps Tech
V00154,K0128,P007,2025-07-08,5,Katalonien,Spanien,Nein,Nein,Spring Cleaning
V00155,K0001,P006,2023-11-08,2,Bayern,Deutschland,Nein,Ja,Printemps Tech
V00156,K0054,P001,2025-01-08,7,Hamburg,Deutschland,Nein,Nein,Printemps Tech
V00157,K0190,P005,2021-06-11,6,London,Großbritannien,Nein,Nein,AI Everywhere
V00158,K0181,P002,2024-08-29,7,Bayern,Deutschland,Ja,Nein,Frühjahr 2025
V00159,K0183,P004,2025-01-11,6,Lombardei,Italien,Nein,Nein,Printemps Tech
V00160,K0065,P007,2023-02-10,4,Berlin,Deutschland,Nein,Nein,Winter Deals
V00161,K0050,P002,2021-12-23,5,Hamburg,Deutschland,Nein,Nein,Spring Cleaning
V00162,K0072,P005,2025-03-17,2,London,Großbritannien,Nein,Nein,Summer Tech
V00163,K0074,P001,2025-06-10,4,NRW,Deutschland,Nein,Nein,Urban Gardening
V00164,K0168,P002,2021-01-26,1,Nordholland,Niederlande,Nein,Nein,Printemps Tech
V00165,K0157,P005,2021-03-13,10,Île-de-France,Frankreich,Nein,Nein,Spring Cleaning
V00166,K0156,P001,2023-09-01,6,Katalonien,Spanien,Nein,Nein,Business Boost
V00167,K0172,P002,2024-11-21,1,Nordholland,Niederlande,Nein,Nein,Smart Home Days
V00168,K0104,P001,2023-01-22,1,Bayern,Deutschland,Nein,Nein,Urban Gardening
V00169,K0129,P004,2025-01-02,7,Hamburg,Deutschland,Nein,Nein,AI Everywhere
V00170,K0151,P007,2022-04-17,9,NRW,Deutschland,Ja,Nein,Smart Home Days
V00171,K0114,P003,2021-05-30,5,Hamburg,Deutschland,Nein,Nein,Printemps Tech
V00172,K0053,P003,2022-07-15,6,London,Großbritannien,Nein,Nein,UK Launch
V00173,K0031,P001,2022-08-10,1,Wien,Österreich,Nein,Nein,AI Everywhere
V00174,K0015,P004,2022-03-14,2,Île-de-France,Frankreich,Ja,Nein,Winter Deals
V00175,K0049,P003,2022-05-16,8,London,Großbritannien,Nein,Nein,Printemps Tech
V00176,K0070,P006,2021-03-03,7,Berlin,Deutschland,Nein,Nein,Frühjahr 2025
V00177,K0099,P002,2022-12-26,6,Wien,Österreich,Nein,Nein,Printemps Tech
V00178,K0048,P003,2024-09-02,4,Wien,Österreich,Ja,Nein,Smart Home Days
V00179,K0026,P003,2024-01-17,5,Berlin,Deutschland,Nein,Nein,Smart Home Days
V00180,K0178,P005,2021-12-12,4,Wien,Österreich,Nein,Nein,Printemps Tech
V00181,K0038,P006,2021-08-05,7,Katalonien,Spanien,Ja,Nein,Urban Gardening
V00182,K0171,P003,2023-03-07,9,NRW,Deutschland,Nein,Nein,Frühjahr 2025
V00183,K0014,P004,2021-01-11,6,Wien,Österreich,Nein,Nein,Printemps Tech
V00184,K0045,P005,2025-02-06,2,Berlin,Deutschland,Nein,Nein,Urban Gardening
V00185,K0009,P004,2022-07-07,1,Berlin,Deutschland,Nein,Nein,Winter Deals
V00186,K0199,P006,2023-03-02,9,Katalonien,Spanien,Nein,Ja,Winter Deals
V00187,K0042,P002,2024-08-03,5,Hamburg,Deutschland,Nein,Nein,Urban Gardening
V00188,K0178,P001,2022-05-29,8,Wien,Österreich,Nein,Nein,Summer Tech
V00189,K0146,P004,2022-11-26,1,NRW,Deutschland,Nein,Ja,Smart Home Days
V00190,K0138,P001,2021-05-02,10,NRW,Deutschland,Nein,Nein,Printemps Tech
V00191,K0161,P003,2022-06-19,5,Berlin,Deutschland,Ja,Nein,UK Launch
V00192,K0006,P007,2021-11-21,9,Île-de-France,Frankreich,Nein,Nein,Urban Gardening
V00193,K0049,P004,2023-12-23,3,London,Großbritannien,Nein,Nein,Winter Deals
V00194,K0199,P006,2023-05-11,3,Katalonien,Spanien,Nein,Ja,Printemps Tech
V00195,K0019,P006,2023-02-03,6,Berlin,Deutschland,Nein,Ja,Business Boost
V00196,K0013,P007,2024-05-24,1,Hamburg,Deutschland,Nein,Nein,Urban Gardening
V00197,K0086,P007,2021-03-26,4,Katalonien,Spanien,Nein,Nein,Winter Deals
V00198,K0005,P007,2024-09-26,2,Berlin,Deutschland,Ja,Nein,Winter Deals
V00199,K0081,P006,2021-08-23,7,Bayern,Deutschland,Ja,Nein,Smart Home Days
V00200,K0065,P003,2023-11-26,3,Berlin,Deutschland,Nein,Nein,Winter Deals
V00201,K0120,P001,2023-10-01,9,Île-de-France,Frankreich,Nein,Nein,Smart Home Days
V00202,K0006,P001,2023-01-15,1,Île-de-France,Frankreich,Nein,Nein,Urban Gardening
V00203,K0122,P004,2025-03-16,6,Lombardei,Italien,Nein,Ja,Summer Tech
V00204,K0015,P006,2021-02-10,2,Île-de-France,Frankreich,Nein,Nein,Printemps Tech
V00205,K0138,P005,2024-03-09,9,NRW,Deutschland,Nein,Nein,Summer Tech
V00206,K0125,P001,2023-03-02,10,NRW,Deutschland,Nein,Ja,Smart Home Days
V00207,K0109,P005,2024-07-08,2,NRW,Deutschland,Nein,Nein,Frühjahr 2025
V00208,K0036,P002,2021-05-20,2,Île-de-France,Frankreich,Nein,Nein,Winter Deals
V00209,K0074,P004,2024-06-04,7,NRW,Deutschland,Ja,Ja,Smart Home Days
V00210,K0192,P005,2024-12-08,9,Berlin,Deutschland,Nein,Nein,Spring Cleaning
V00211,K0058,P005,2023-11-20,10,Nordholland,Niederlande,Nein,Nein,Spring Cleaning
V00212,K0113,P004,2024-08-12,2,NRW,Deutschland,Nein,Nein,Business Boost
V00213,K0135,P007,2023-07-08,9,Nordholland,Niederlande,Nein,Nein,Urban Gardening
V00214,K0200,P004,2023-11-01,4,NRW,Deutschland,Nein,Nein,AI Everywhere
V00215,K0089,P001,2021-04-15,2,NRW,Deutschland,Nein,Nein,Smart Home Days
V00216,K0016,P006,2024-05-23,8,London,Großbritannien,Nein,Nein,Urban Gardening
V00217,K0111,P004,2021-04-26,7,Île-de-France,Frankreich,Nein,Nein,Printemps Tech
V00218,K0092,P005,2022-10-14,4,Hamburg,Deutschland,Nein,Nein,AI Everywhere
V00219,K0009,P007,2021-06-15,5,Berlin,Deutschland,Ja,Nein,Business Boost
V00220,K0001,P007,2021-03-11,5,Bayern,Deutschland,Nein,Nein,Business Boost
V00221,K0014,P005,2021-06-28,8,Wien,Österreich,Ja,Nein,Smart Home Days
V00222,K0120,P002,2021-04-13,9,Île-de-France,Frankreich,Nein,Nein,Urban Gardening
V00223,K0198,P004,2023-09-25,5,Lombardei,Italien,Nein,Nein,Spring Cleaning
V00224,K0008,P002,2023-07-30,9,Bayern,Deutschland,Nein,Nein,Frühjahr 2025
V00225,K0070,P002,2021-04-17,2,Berlin,Deutschland,Nein,Nein,UK Launch
V00226,K0198,P002,2022-11-08,9,Lombardei,Italien,Nein,Nein,Urban Gardening
V00227,K0050,P001,2021-08-09,3,Hamburg,Deutschland,Ja,Nein,Spring Cleaning
V00228,K0105,P002,2024-07-04,10,Berlin,Deutschland,Nein,Nein,Urban Gardening
V00229,K0147,P003,2022-08-24,1,Bayern,Deutschland,Nein,Ja,Business Boost
V00230,K0116,P007,2021-02-02,6,Île-de-France,Frankreich,Nein,Ja,Smart Home Days
V00231,K0107,P001,2024-12-19,6,Lombardei,Italien,Nein,Nein,Frühjahr 2025
V00232,K0157,P005,2021-06-01,8,Île-de-France,Frankreich,Ja,Nein,AI Everywhere
V00233,K0186,P003,2022-09-09,1,London,Großbritannien,Nein,Nein,Spring Cleaning
V00234,K0155,P002,2022-07-15,6,Hamburg,Deutschland,Nein,Ja,Frühjahr 2025
V00235,K0081,P002,2025-05-02,5,Bayern,Deutschland,Nein,Nein,Urban Gardening
V00236,K0078,P005,2022-11-08,10,Hamburg,Deutschland,Nein,Nein,Summer Tech
V00237,K0065,P004,2021-06-14,4,Berlin,Deutschland,Nein,Ja,AI Everywhere
V00238,K0007,P004,2023-08-30,3,NRW,Deutschland,Ja,Nein,UK Launch
V00239,K0153,P004,2023-11-29,2,Lombardei,Italien,Ja,Ja,Printemps Tech
V00240,K0081,P001,2021-02-15,4,Bayern,Deutschland,Nein,Nein,UK Launch
V00241,K0112,P002,2024-06-17,7,Katalonien,Spanien,Ja,Ja,AI Everywhere
V00242,K0024,P004,2024-03-25,6,Lombardei,Italien,Nein,Nein,Urban Gardening
V00243,K0133,P005,2023-10-02,9,NRW,Deutschland,Nein,Nein,Printemps Tech
V00244,K0081,P005,2024-07-27,5,Bayern,Deutschland,Nein,Nein,Spring Cleaning
V00245,K0158,P004,2022-05-08,5,NRW,Deutschland,Nein,Nein,Business Boost
V00246,K0162,P006,2024-11-05,7,Lombardei,Italien,Nein,Nein,AI Everywhere
V00247,K0052,P004,2023-08-27,3,Île-de-France,Frankreich,Nein,Nein,Frühjahr 2025
V00248,K0100,P001,2024-02-22,10,Katalonien,Spanien,Nein,Ja,Frühjahr 2025
V00249,K0007,P003,2023-06-22,4,NRW,Deutschland,Ja,Nein,UK Launch
V00250,K0187,P003,2025-04-07,3,London,Großbritannien,Nein,Nein,Spring Cleaning
V00251,K0160,P003,2024-02-04,5,Wien,Österreich,Nein,Nein,Smart Home Days
V00252,K0170,P003,2021-08-20,10,Île-de-France,Frankreich,Nein,Nein,UK Launch
V00253,K0014,P006,2021-08-07,8,Wien,Österreich,Ja,Nein,Winter Deals
V00254,K0191,P005,2023-01-02,5,Hamburg,Deutschland,Nein,Nein,AI Everywhere
V00255,K0148,P003,2022-04-05,5,London,Großbritannien,Nein,Nein,UK Launch
V00256,K0151,P001,2022-11-22,5,NRW,Deutschland,Nein,Nein,Urban Gardening
V00257,K0181,P002,2021-04-18,9,Bayern,Deutschland,Ja,Nein,Printemps Tech
V00258,K0030,P007,2021-06-22,1,Île-de-France,Frankreich,Nein,Nein,Summer Tech
V00259,K0018,P002,2021-09-07,9,Lombardei,Italien,Nein,Nein,Business Boost
V00260,K0030,P004,2021-01-13,9,Île-de-France,Frankreich,Ja,Nein,Frühjahr 2025
V00261,K0162,P004,2021-09-23,6,Lombardei,Italien,Nein,Nein,Smart Home Days
V00262,K0003,P006,2023-11-19,1,London,Großbritannien,Nein,Nein,Printemps Tech
V00263,K0062,P003,2023-01-22,4,Bayern,Deutschland,Ja,Nein,Business Boost
V00264,K0073,P001,2024-07-11,4,Lombardei,Italien,Nein,Nein,UK Launch
V00265,K0033,P005,2021-08-23,9,Berlin,Deutschland,Nein,Nein,Printemps Tech
V00266,K0180,P007,2023-11-15,8,Katalonien,Spanien,Ja,Nein,Smart Home Days
V00267,K0040,P002,2022-09-07,7,Berlin,Deutschland,Nein,Nein,Frühjahr 2025
V00268,K0101,P006,2025-02-16,9,NRW,Deutschland,Nein,Nein,AI Everywhere
V00269,K0134,P003,2023-12-17,3,Wien,Österreich,Nein,Nein,Business Boost
V00270,K0063,P005,2024-11-07,4,Bayern,Deutschland,Nein,Nein,Spring Cleaning
V00271,K0141,P004,2023-05-30,5,Wien,Österreich,Ja,Nein,AI Everywhere
V00272,K0170,P001,2024-07-14,2,Île-de-France,Frankreich,Nein,Nein,Summer Tech
V00273,K0002,P007,2022-07-04,3,Île-de-France,Frankreich,Nein,Nein,Summer Tech
V00274,K0090,P004,2021-09-24,10,Hamburg,Deutschland,Nein,Ja,Winter Deals
V00275,K0121,P006,2025-02-08,4,NRW,Deutschland,Nein,Nein,Summer Tech
V00276,K0072,P003,2021-12-17,10,London,Großbritannien,Ja,Nein,Business Boost
V00277,K0118,P001,2021-04-21,2,Lombardei,Italien,Nein,Nein,Winter Deals
V00278,K0076,P002,2025-06-26,6,Nordholland,Niederlande,Nein,Nein,Frühjahr 2025
V00279,K0170,P002,2021-04-20,9,Île-de-France,Frankreich,Ja,Nein,Frühjahr 2025
V00280,K0169,P005,2022-10-17,9,Nordholland,Niederlande,Nein,Nein,Summer Tech
V00281,K0189,P006,2022-05-17,8,Katalonien,Spanien,Nein,Nein,Spring Cleaning
V00282,K0010,P002,2022-06-09,5,Île-de-France,Frankreich,Ja,Ja,Spring Cleaning
V00283,K0119,P004,2023-10-24,3,Katalonien,Spanien,Nein,Nein,Summer Tech
V00284,K0124,P006,2021-07-25,5,Île-de-France,Frankreich,Nein,Nein,Winter Deals
V00285,K0087,P002,2021-06-07,4,NRW,Deutschland,Ja,Nein,Business Boost
V00286,K0044,P005,2024-06-17,9,Berlin,Deutschland,Ja,Nein,Spring Cleaning
V00287,K0001,P005,2022-10-06,4,Bayern,Deutschland,Nein,Ja,Frühjahr 2025
V00288,K0105,P007,2024-06-21,10,Berlin,Deutschland,Nein,Nein,Winter Deals
V00289,K0037,P003,2023-08-28,7,Berlin,Deutschland,Nein,Nein,Printemps Tech
V00290,K0058,P001,2023-10-05,7,Nordholland,Niederlande,Nein,Nein,Printemps Tech
V00291,K0040,P004,2022-07-03,2,Berlin,Deutschland,Nein,Nein,Frühjahr 2025
V00292,K0075,P002,2021-05-15,9,Katalonien,Spanien,Nein,Nein,UK Launch
V00293,K0098,P001,2022-11-01,5,Lombardei,Italien,Ja,Nein,Frühjahr 2025
V00294,K0154,P006,2021-01-08,7,Hamburg,Deutschland,Nein,Ja,UK Launch
V00295,K0171,P004,2022-10-02,6,NRW,Deutschland,Nein,Ja,Business Boost
V00296,K0121,P005,2021-02-03,5,NRW,Deutschland,Nein,Nein,Printemps Tech
V00297,K0029,P002,2021-10-22,3,Nordholland,Niederlande,Nein,Nein,Smart Home Days
V00298,K0184,P007,2025-05-11,2,NRW,Deutschland,Ja,Nein,Urban Gardening
